sample	ccoreid	depth	potential name	reads	bases
s_SW1601-10	SW1601	10	SW1601-10	103838418	15559552016
s_SW1601-110	SW1601	110	SW1601-110	79826244	11964436579
s_SW1601-20	SW1601	20	SW1601-20	86307880	12935292526
s_SW1601-30	SW1601	30	SW1601-30	79789980	11950127880
s_SW1601-130	SW1601	130	SW1601-130	65725104	9851086083
s_SW1601-40	SW1601	40	SW1601-40	118633872	17781246302
s_SW1601-150	SW1601	150	SW1601-150	69121418	10359970796
s_SW1601-170	SW1601	170	SW1601-170	48836076	7317781271
s_SW1601-70	SW1601	70	SW1601-70	73835866	11064604441
s_SW1601-190	SW1601	190	SW1601-190	86545892	12968099733
s_SW1601-90	SW1601	90	SW1601-90	86694052	12993157820
s_SW1601-200	SW1601	200	SW1601-200	140838406	21104343634
s_SW1601-210	SW1601	210	SW1601-210	103082210	15447390062
s_SW1602-10	SW1602	10	SW1602-10	114000584	17087403101
s_SW1601-220	SW1601	220	SW1601-220	53207622	7974214580
s_SW1602-20	SW1602	20	SW1602-20	104481944	15656649848
s_SW1601-230	SW1601	230	SW1601-230	49528752	7419808508
s_SW1602-30	SW1602	30	SW1602-30	72660874	10891396425
s_SW1602-40	SW1602	40	SW1602-40	90055412	13497929605
s_SW1601-240	SW1601	240	SW1601-240	117729978	17639162769
s_SW1602-70	SW1602	70	SW1602-70	97956622	14681358374
s_SW1602-80	SW1602	80	SW1602-80	119634306	17930744916
s_SW1603-10	SW1603	10	SW1603-10	81585180	12225888485
s_SW1603-20	SW1603	20	SW1603-20	65235808	9775929529
s_SW1603-30	SW1603	30	SW1603-30	88260476	13229418988
s_SW1603-40	SW1603	40	SW1603-40	64567502	9678038858
s_SW1603-70	SW1603	70	SW1603-70	71597962	10730884957
s_SW1603-80	SW1603	80	SW1603-80	91366516	13692815185
s_WE1603-110	WE1603	110	WE1603-110	56112918	8407127505
s_WE1603-130	WE1603	130	WE1603-130	67585292	10126461284
s_WE1603-150	WE1603	150	WE1603-150	67772888	10154772824
s_WE1603-170	WE1603	170	WE1603-170	66369434	9947112884
s_WE1603-190	WE1603	190	WE1603-190	60558508	9074900431
s_WE1603-210	WE1603	210	WE1603-210	58513838	8761424091
s_WE1602-10	WE1602	10	WE1602-10	101576348	15222497464
s_WE1603-220	WE1603	220	WE1603-220	70231356	10509418966
s_WE1602-20	WE1602	20	WE1602-20	57298194	8588687930
s_WE1603-230	WE1603	230	WE1603-230	64211570	9610936702
s_WE1602-30	WE1602	30	WE1602-30	93797472	14056895548
s_WE1603-240	WE1603	240	WE1603-240	70025032	10481634851
s_WE1602-40	WE1602	40	WE1602-40	69413954	10403802752
s_WE1602-70	WE1602	70	WE1602-70	75905452	11376876135
s_WE1602-80	WE1602	90	WE1602-80	61433866	9207303953
s_WE1603-10	WE1603	10	WE1603-10	79824224	11964738366
s_WE1603-20	WE1603	20	WE1603-20	78543158	11773391025
s_WE1603-30	WE1603	30	WE1603-30	76528646	11470637644
s_WE1603-40	WE1603	40	WE1603-40	76587594	11477890771
s_WE1603-70	WE1603	70	WE1603-70	70127946	10506286029
s_WE1603-90	WE1603	90	WE1603-90	60622772	9086354207
s_WE1604-10	WE1604	10	WE1604-10	65614056	9833319357
s_WE1604-20	WE1604	20	WE1604-20	65522542	9815529236
s_WE1604-30	WE1604	30	WE1604-30	71046732	10644800322
s_WE1604-40	WE1604	40	WE1604-40	79382594	11898116171
s_WE1604-70	WE1604	70	WE1604-70	57467556	8611078521
s_WE1604-90	WE1604	90	WE1604-90	63373322	9496961046
